N,TYPE,PARENT,NAME,FILETYPE,PATH,SIZE
1,Dir,,.git,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git,0
2,Dir,,samples,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples,0
3,Dir,,app,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app,0
4,Dir,,diagrams,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/diagrams,0
5,File,,README.md,md,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/README.md,14639
6,File,,NOTICE,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/NOTICE,67
7,File,,CONTRIBUTING.md,md,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/CONTRIBUTING.md,3160
8,File,,LICENSE,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/LICENSE,10142
9,File,,CODE_OF_CONDUCT.md,md,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/CODE_OF_CONDUCT.md,309
10,Dir,.git,branches,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/branches,0
11,Dir,.git,refs,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/refs,0
12,Dir,.git,objects,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/objects,0
13,Dir,.git,logs,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/logs,0
14,Dir,.git,hooks,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks,0
15,Dir,.git,info,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/info,0
16,File,.git,index,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/index,15741
17,File,.git,packed-refs,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/packed-refs,112
18,File,.git,HEAD,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/HEAD,21
19,File,.git,config,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/config,325
20,File,.git,description,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/description,73
21,Dir,refs,heads,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/refs/heads,0
22,Dir,refs,remotes,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/refs/remotes,0
23,Dir,refs,tags,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/refs/tags,0
24,File,heads,main,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/refs/heads/main,41
25,Dir,remotes,origin,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/refs/remotes/origin,0
26,File,origin,HEAD,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/refs/remotes/origin/HEAD,30
27,Dir,objects,pack,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/objects/pack,0
28,Dir,objects,info,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/objects/info,0
29,File,pack,pack-b39aad59682bc2815d873da8a76dea29e7c56a4d.pack,pack,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/objects/pack/pack-b39aad59682bc2815d873da8a76dea29e7c56a4d.pack,2498958
30,File,pack,pack-b39aad59682bc2815d873da8a76dea29e7c56a4d.idx,idx,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/objects/pack/pack-b39aad59682bc2815d873da8a76dea29e7c56a4d.idx,8828
31,Dir,logs,refs,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/logs/refs,0
32,File,logs,HEAD,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/logs/HEAD,230
33,Dir,refs,heads,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/logs/refs/heads,0
34,Dir,refs,remotes,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/logs/refs/remotes,0
35,File,heads,main,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/logs/refs/heads/main,230
36,Dir,remotes,origin,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/logs/refs/remotes/origin,0
37,File,origin,HEAD,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/logs/refs/remotes/origin/HEAD,230
38,File,hooks,push-to-checkout.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/push-to-checkout.sample,2783
39,File,hooks,pre-commit.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/pre-commit.sample,1643
40,File,hooks,prepare-commit-msg.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/prepare-commit-msg.sample,1492
41,File,hooks,pre-push.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/pre-push.sample,1374
